0.,0.,0.,0.,1.
"Around[0.2820000000000001, 0.22739877766081476]","Around[0.41600000000000004, 0.22799928392297147]","Around[0.1839999999999999, 0.19204591287778355]","Around[0.06200000000000003, 0.06966391622992349]","Around[0.05600000000000002, 0.08843307166024093]"
"Around[0.35200000000000004, 0.24680819620564814]","Around[0.36200000000000004, 0.2554627653686461]","Around[0.174, 0.21458074927444837]","Around[0.05400000000000001, 0.0838122293935579]","Around[0.058000000000000024, 0.06417450698633201]"
"Around[0.46400000000000013, 0.2753550583578687]","Around[0.30400000000000005, 0.23383231389268716]","Around[0.14600000000000002, 0.1445753810865686]","Around[0.040000000000000015, 0.05714285714285715]","Around[0.04600000000000001, 0.08381222939355788]"
"Around[0.402, 0.22176472180384035]","Around[0.336, 0.22201305348642758]","Around[0.136, 0.1453496839083075]","Around[0.05600000000000001, 0.09722685444099176]","Around[0.07000000000000002, 0.09529760045804525]"
"Around[0.37, 0.24764194033371026]","Around[0.36999999999999994, 0.27939438879439926]","Around[0.16199999999999995, 0.14553209899102912]","Around[0.04000000000000001, 0.06998542122237653]","Around[0.058000000000000024, 0.08351951989853411]"
"Around[0.3819999999999999, 0.24882581400306064]","Around[0.3820000000000001, 0.22829447506879966]","Around[0.142, 0.1295045503888901]","Around[0.04200000000000001, 0.05746338674605362]","Around[0.05200000000000002, 0.08141603913585718]"
"Around[0.3340000000000001, 0.21816488802588502]","Around[0.4220000000000001, 0.24931743555850522]","Around[0.14400000000000002, 0.16679450879230198]","Around[0.05400000000000002, 0.06764251772429551]","Around[0.04600000000000001, 0.06131218209678553]"
"Around[0.406, 0.2668103354483121]","Around[0.38000000000000006, 0.2710523708715754]","Around[0.126, 0.15754494013856907]","Around[0.030000000000000006, 0.06144518047887591]","Around[0.058000000000000024, 0.08827138117585949]"
"Around[0.37599999999999995, 0.2692089697386681]","Around[0.42599999999999993, 0.30291778368638145]","Around[0.126, 0.1482000853782563]","Around[0.036000000000000004, 0.06928203230275509]","Around[0.03600000000000001, 0.0692820323027551]"
"Around[0.4200000000000001, 0.2792117183670295]","Around[0.42600000000000016, 0.2739059871487266]","Around[0.08400000000000002, 0.10946996606096011]","Around[0.028000000000000008, 0.057285536159324066]","Around[0.042, 0.07024737630368141]"
"Around[0.36399999999999993, 0.24474893424962352]","Around[0.354, 0.2596779795462536]","Around[0.16999999999999993, 0.21876275473019363]","Around[0.05000000000000001, 0.0762648446573665]","Around[0.06200000000000003, 0.08053393251117374]"
"Around[0.41400000000000015, 0.2657373261900034]","Around[0.36199999999999993, 0.2609949565546024]","Around[0.146, 0.15011560171265018]","Around[0.03400000000000001, 0.05194188275056527]","Around[0.04400000000000001, 0.06749149606295839]"
