1.,0.,0.
"Around[0.8892000000000003, 0.055543327452447395]","Around[0.05460000000000001, 0.03913399273975379]","Around[0.05619999999999999, 0.043887146554008966]"
"Around[0.8596000000000003, 0.0621702730985063]","Around[0.06919999999999998, 0.05244394480718222]","Around[0.07119999999999999, 0.049924023908989014]"
"Around[0.8247999999999999, 0.07962257909689197]","Around[0.0938, 0.07384180553655198]","Around[0.08139999999999999, 0.06353562394597287]"
"Around[0.7959999999999999, 0.10705710854397253]","Around[0.1058, 0.09326481936192364]","Around[0.09820000000000002, 0.06687453986109103]"
"Around[0.7718, 0.1209602734582807]","Around[0.11979999999999996, 0.09635160949906973]","Around[0.10840000000000001, 0.07388242175848027]"
"Around[0.762, 0.13330952168329377]","Around[0.12719999999999998, 0.11700409900372497]","Around[0.11079999999999997, 0.08198655937632306]"
"Around[0.7242000000000002, 0.12375238608295393]","Around[0.1444, 0.10876223834491416]","Around[0.13139999999999996, 0.09136180597950512]"
"Around[0.6780000000000002, 0.13268037395430066]","Around[0.1482, 0.10786783296124523]","Around[0.17380000000000004, 0.12674721749552195]"
"Around[0.6516000000000001, 0.14712704492016]","Around[0.1476, 0.10508616484017451]","Around[0.20079999999999998, 0.14468600767291404]"
"Around[0.6357999999999998, 0.1653578679404035]","Around[0.163, 0.1274914963150604]","Around[0.20120000000000002, 0.1373308235686396]"
"Around[0.6315999999999999, 0.1889645253393734]","Around[0.17379999999999995, 0.15873080793518032]","Around[0.19459999999999994, 0.13325148848577065]"
"Around[0.5946, 0.18984644708128662]","Around[0.19300000000000003, 0.17775527777118239]","Around[0.21240000000000003, 0.12379311246542576]"
"Around[0.5823999999999999, 0.21884259556277674]","Around[0.22700000000000006, 0.18316101982592659]","Around[0.19060000000000005, 0.13140387966813133]"
"Around[0.5568, 0.21034898116594486]","Around[0.2512000000000001, 0.18822088630334396]","Around[0.1920000000000001, 0.13874069191061697]"
"Around[0.5436, 0.2115613482695567]","Around[0.25400000000000006, 0.20487925762282927]","Around[0.20239999999999994, 0.13579035462124425]"
"Around[0.5386, 0.20727591785455682]","Around[0.24879999999999997, 0.18395474155013106]","Around[0.2126, 0.1587940522198743]"
"Around[0.5178000000000003, 0.2189799170737642]","Around[0.25579999999999997, 0.1865813823640986]","Around[0.22640000000000002, 0.15944751551555023]"
"Around[0.49579999999999996, 0.22625694261532098]","Around[0.2708, 0.1707467392941717]","Around[0.23340000000000002, 0.1606315342512745]"
"Around[0.4857999999999999, 0.23014715789188944]","Around[0.2663999999999999, 0.1956335599939805]","Around[0.24780000000000005, 0.18474792534252543]"
"Around[0.47999999999999976, 0.2321593400741686]","Around[0.263, 0.19270629020795946]","Around[0.257, 0.18452642087245935]"
"Around[0.4583999999999999, 0.23577367217269174]","Around[0.27399999999999997, 0.2121801314055237]","Around[0.2676, 0.1973762593502624]"
"Around[0.4467999999999999, 0.24466920608888088]","Around[0.277, 0.2305029992279086]","Around[0.2762, 0.21153366114147973]"
"Around[0.45159999999999995, 0.2235461875299681]","Around[0.28299999999999986, 0.22726636354727023]","Around[0.26539999999999997, 0.20663691907916795]"
"Around[0.43039999999999984, 0.22523420916812753]","Around[0.28500000000000003, 0.204033310605731]","Around[0.28459999999999996, 0.19584677475943654]"
"Around[0.42260000000000003, 0.234936465575574]","Around[0.29800000000000004, 0.21749970677906574]","Around[0.2794, 0.18689088817176897]"
"Around[0.3912, 0.22327470039557706]","Around[0.30900000000000005, 0.2020431354226829]","Around[0.29979999999999996, 0.17227754067320605]"
"Around[0.39940000000000014, 0.2520804050541115]","Around[0.31300000000000006, 0.23172159579802587]","Around[0.2876000000000001, 0.1730938167230566]"
"Around[0.4072, 0.241526100334637]","Around[0.3289999999999999, 0.23636058582304337]","Around[0.26380000000000003, 0.16308117422852678]"
"Around[0.4166000000000002, 0.2620765583736546]","Around[0.3202, 0.22108720229902082]","Around[0.2632, 0.17120747647226156]"
"Around[0.4325999999999998, 0.28013706557719936]","Around[0.314, 0.22518019994879568]","Around[0.2533999999999999, 0.20472589938146818]"
"Around[0.43060000000000004, 0.2763494534247594]","Around[0.30199999999999994, 0.22112882938159256]","Around[0.26739999999999997, 0.20620784046536098]"
"Around[0.41400000000000003, 0.2686322119667008]","Around[0.30479999999999996, 0.2237823286415728]","Around[0.2811999999999999, 0.20806827764766378]"
"Around[0.41739999999999994, 0.2724178213475673]","Around[0.3044, 0.22745405456657727]","Around[0.2782, 0.20867600118218615]"
"Around[0.4142, 0.27218008744211986]","Around[0.30879999999999996, 0.21310761868796982]","Around[0.27699999999999997, 0.19787906015791462]"
"Around[0.4129999999999999, 0.2644690483799955]","Around[0.31139999999999984, 0.2202596797659804]","Around[0.2756, 0.19998122360841372]"
"Around[0.4380000000000001, 0.26253085338601984]","Around[0.29040000000000005, 0.22018507984819294]","Around[0.27159999999999995, 0.20231678534578654]"
"Around[0.4298000000000001, 0.26727261936312235]","Around[0.30979999999999996, 0.22556495964667952]","Around[0.26039999999999996, 0.19851448309884095]"
"Around[0.41400000000000003, 0.26786380944084864]","Around[0.3204, 0.23586540610254478]","Around[0.26559999999999995, 0.20119195829265307]"
"Around[0.3936, 0.24935639603767532]","Around[0.3306, 0.2296706603920012]","Around[0.27579999999999993, 0.21333206844863112]"
"Around[0.39019999999999994, 0.2509206720728075]","Around[0.3098, 0.2110468561959739]","Around[0.3, 0.20885499314899153]"
"Around[0.3776000000000001, 0.23693243676592013]","Around[0.318, 0.19527061285533456]","Around[0.3044, 0.19127029704220214]"
"Around[0.3886, 0.23324691305348416]","Around[0.3023999999999999, 0.20762564428139726]","Around[0.309, 0.2026482828217704]"
"Around[0.3849999999999998, 0.22217156452082848]","Around[0.30879999999999996, 0.19859342118704615]","Around[0.30619999999999997, 0.2056933521094953]"
"Around[0.40199999999999997, 0.21687953959255252]","Around[0.3022, 0.19399442449383406]","Around[0.2958, 0.21019029279125492]"
"Around[0.3912000000000001, 0.2187127460989013]","Around[0.3018, 0.2120231985766979]","Around[0.30700000000000005, 0.20608349803724052]"
"Around[0.3970000000000001, 0.20588534554504864]","Around[0.30539999999999995, 0.21526642249329372]","Around[0.2976000000000001, 0.2012974243780195]"
"Around[0.38980000000000004, 0.2107565575032299]","Around[0.3206000000000001, 0.21994813859969217]","Around[0.28959999999999997, 0.19568779799904307]"
"Around[0.37400000000000005, 0.1914072482793626]","Around[0.33179999999999993, 0.24103255771275178]","Around[0.2942000000000001, 0.19463298795425202]"
"Around[0.3552, 0.18997572347593283]","Around[0.35340000000000005, 0.23244582427845376]","Around[0.2914, 0.2018588110334467]"
"Around[0.344, 0.2057341260273679]","Around[0.3625999999999999, 0.23897579076431275]","Around[0.2934, 0.21299238273243676]"
"Around[0.3336, 0.21901225387393]","Around[0.364, 0.2337362895684461]","Around[0.30240000000000006, 0.20770426385726845]"
"Around[0.34020000000000006, 0.21031065457691733]","Around[0.365, 0.22462894574231995]","Around[0.2948, 0.19820871292037348]"
"Around[0.3282, 0.22558486343778672]","Around[0.3675999999999999, 0.23319922287825148]","Around[0.3042, 0.19850553891413672]"
"Around[0.35979999999999995, 0.21205014809266803]","Around[0.37699999999999995, 0.22966035258838305]","Around[0.2632, 0.1763165057618873]"
"Around[0.3458000000000001, 0.2143627480582903]","Around[0.37440000000000007, 0.2176981621326151]","Around[0.2798, 0.1857746055886882]"
"Around[0.3408, 0.2204711096812497]","Around[0.3856, 0.2129114024802863]","Around[0.2736, 0.20159324575663212]"
"Around[0.3507999999999999, 0.22386986015476557]","Around[0.3741999999999999, 0.2264372688730675]","Around[0.275, 0.1845595971440098]"
"Around[0.35159999999999997, 0.22710565733120067]","Around[0.37300000000000005, 0.23066231170439683]","Around[0.27540000000000003, 0.18309370858237858]"
"Around[0.3386000000000001, 0.2632296273877503]","Around[0.3704000000000001, 0.2403989880789596]","Around[0.2909999999999999, 0.20532950124527322]"
"Around[0.34, 0.25804603291281347]","Around[0.3788, 0.25097881852247766]","Around[0.28120000000000006, 0.19443943498568142]"
"Around[0.32719999999999994, 0.2532244305846061]","Around[0.39000000000000007, 0.2382846865342687]","Around[0.2828, 0.21177616215509917]"
"Around[0.3326000000000001, 0.23390046723217245]","Around[0.36739999999999995, 0.24674873611735118]","Around[0.29999999999999993, 0.22440851960981648]"
"Around[0.3258, 0.21799728513568836]","Around[0.3674000000000001, 0.25022283946065976]","Around[0.30679999999999996, 0.2391433691750791]"
"Around[0.34820000000000023, 0.21345257084420416]","Around[0.3608, 0.26732110172706425]","Around[0.2910000000000001, 0.22380977710218697]"
"Around[0.33980000000000005, 0.2199581592865668]","Around[0.35700000000000004, 0.2626338337157741]","Around[0.3032000000000001, 0.2196048399154393]"
"Around[0.3561999999999999, 0.21861241445787574]","Around[0.3593999999999999, 0.2529290454669379]","Around[0.2844, 0.19526183363235478]"
"Around[0.35100000000000003, 0.2169853752242867]","Around[0.37359999999999993, 0.24471357684827694]","Around[0.27540000000000003, 0.1962111524010055]"
"Around[0.34079999999999994, 0.22942554703574985]","Around[0.3856000000000001, 0.25685825520178657]","Around[0.27360000000000007, 0.20845162899975878]"
"Around[0.3508, 0.2454137697183003]","Around[0.36340000000000017, 0.26424795096998716]","Around[0.28579999999999994, 0.2216550915089404]"
"Around[0.34059999999999996, 0.22997258044189103]","Around[0.36699999999999994, 0.2702776350347916]","Around[0.29239999999999994, 0.25097816800735184]"
"Around[0.3328000000000001, 0.22964959998987633]","Around[0.37359999999999993, 0.27629295307402857]","Around[0.29359999999999997, 0.24455507288434924]"
"Around[0.33559999999999995, 0.23435678364582563]","Around[0.39380000000000004, 0.28304387775518813]","Around[0.27059999999999995, 0.2281997871540262]"
"Around[0.3262, 0.24139805386159033]","Around[0.4084, 0.2755207314693175]","Around[0.2654, 0.23543455262859905]"
"Around[0.3322, 0.2323815476182853]","Around[0.4114, 0.270924419010776]","Around[0.2564, 0.22397849751022703]"
"Around[0.34760000000000013, 0.23226093700220635]","Around[0.3954000000000001, 0.25253175189327326]","Around[0.25699999999999995, 0.21346748545607308]"
"Around[0.3516, 0.23651690192871883]","Around[0.3734000000000001, 0.26546539802961217]","Around[0.2749999999999999, 0.2189888637556248]"
"Around[0.331, 0.21931479565190476]","Around[0.3858, 0.2577539564018685]","Around[0.28320000000000006, 0.20336395442453334]"
"Around[0.3344, 0.2183440460580036]","Around[0.37199999999999994, 0.2656605168331975]","Around[0.29359999999999997, 0.21280210218387777]"
"Around[0.34120000000000006, 0.21142509649654043]","Around[0.3666000000000001, 0.25009883760511276]","Around[0.2922, 0.21400257484623014]"
"Around[0.3228000000000001, 0.21050027873363678]","Around[0.3674000000000001, 0.2511915278696107]","Around[0.3098, 0.2054014486366657]"
"Around[0.3239999999999999, 0.2228754571229302]","Around[0.3611999999999999, 0.24612623275258488]","Around[0.3148, 0.21088966067494122]"
"Around[0.33620000000000005, 0.2199061952148633]","Around[0.35839999999999994, 0.24451000563809827]","Around[0.3054, 0.23128928789262496]"
"Around[0.3277999999999999, 0.2212237762621221]","Around[0.3533999999999999, 0.2570048042114293]","Around[0.31880000000000003, 0.23884620617477187]"
"Around[0.308, 0.2142952378836073]","Around[0.3636000000000001, 0.22847104938736387]","Around[0.3284, 0.23540984668948609]"
"Around[0.33520000000000005, 0.23294249093205957]","Around[0.33840000000000003, 0.23542718446193395]","Around[0.3263999999999999, 0.23637362330835132]"
"Around[0.3440000000000001, 0.2478149408287547]","Around[0.327, 0.2125477137309289]","Around[0.32899999999999996, 0.22574366897353434]"
"Around[0.3563999999999999, 0.250124540407945]","Around[0.33440000000000003, 0.22740918797513482]","Around[0.3092, 0.2322106714136268]"
"Around[0.3546, 0.24448371257465334]","Around[0.3436, 0.22041482227280232]","Around[0.3017999999999999, 0.22195504233138416]"
"Around[0.3644000000000001, 0.23769436729737195]","Around[0.3514000000000001, 0.21214175083886622]","Around[0.28420000000000006, 0.23642826931357477]"
"Around[0.3532, 0.2465719251774506]","Around[0.35100000000000003, 0.22765216933752605]","Around[0.2958, 0.2406461539866603]"
"Around[0.3576, 0.2323048665448233]","Around[0.34639999999999993, 0.23029493069114834]","Around[0.296, 0.2271653178472741]"
"Around[0.353, 0.22313398555622155]","Around[0.3397999999999999, 0.22977797624521576]","Around[0.30720000000000003, 0.2416105822793939]"
"Around[0.33300000000000013, 0.21819528792682344]","Around[0.37759999999999994, 0.24323969869330164]","Around[0.2893999999999999, 0.23623241755110752]"
"Around[0.32220000000000004, 0.218317219117653]","Around[0.35839999999999994, 0.2465960921285275]","Around[0.31939999999999996, 0.24932897700730697]"
"Around[0.3129999999999999, 0.21390680786029131]","Around[0.37259999999999993, 0.24311591255772527]","Around[0.31439999999999996, 0.2467764418353137]"
"Around[0.3318000000000001, 0.22033082732424839]","Around[0.35660000000000003, 0.23687256541207546]","Around[0.3116, 0.2374641541155126]"
"Around[0.34519999999999995, 0.22887693868370507]","Around[0.3428, 0.22872352082720274]","Around[0.3120000000000001, 0.227954524644988]"
"Around[0.3578, 0.23070689948371237]","Around[0.355, 0.2324514432508169]","Around[0.2872, 0.2065463331921001]"
"Around[0.3364000000000001, 0.24670696490089664]","Around[0.37560000000000004, 0.25013596302811]","Around[0.28800000000000003, 0.20479955357094204]"
"Around[0.36300000000000004, 0.24957310490891754]","Around[0.3638000000000001, 0.2554538977536867]","Around[0.2732, 0.20734905992808653]"
"Around[0.34340000000000004, 0.23612181221581718]","Around[0.35980000000000006, 0.22172321410594198]","Around[0.2968, 0.1805144575588202]"
"Around[0.3276, 0.23016905942886273]","Around[0.37879999999999986, 0.24456241638936282]","Around[0.2936, 0.20096461258192722]"
"Around[0.35260000000000014, 0.23720145575490237]","Around[0.3778, 0.23150166394253685]","Around[0.26959999999999995, 0.19673830126254896]"
"Around[0.37400000000000005, 0.23875527561219057]","Around[0.36200000000000004, 0.23867833361823085]","Around[0.264, 0.19913076413374653]"
"Around[0.36959999999999993, 0.25019143690790224]","Around[0.35839999999999994, 0.25560939588619613]","Around[0.272, 0.20035682454774817]"
"Around[0.37760000000000005, 0.2545629307544319]","Around[0.33419999999999994, 0.2367215707129714]","Around[0.2882, 0.20220912593709733]"
"Around[0.3778000000000001, 0.24563362463437374]","Around[0.32659999999999995, 0.24336593761625055]","Around[0.2956, 0.19420334388344143]"
"Around[0.37059999999999993, 0.2342718637020865]","Around[0.32939999999999997, 0.2517644671886315]","Around[0.30000000000000004, 0.2039407677113477]"
"Around[0.3668, 0.24019074053080125]","Around[0.3244, 0.2540943099861682]","Around[0.3088000000000001, 0.20118668353708966]"
