0.5,0.5
"Around[0.5050000000000001, 0.04802145984932785]","Around[0.495, 0.04802145984932785]"
"Around[0.5015999999999999, 0.07144567760533066]","Around[0.4984, 0.07144567760533067]"
"Around[0.5058000000000001, 0.08366817576811172]","Around[0.4942, 0.08366817576811172]"
"Around[0.49720000000000025, 0.09585426648845843]","Around[0.5027999999999998, 0.09585426648845843]"
"Around[0.49700000000000005, 0.10179698552818871]","Around[0.503, 0.10179698552818871]"
"Around[0.495, 0.11478130280994146]","Around[0.5050000000000001, 0.11478130280994146]"
"Around[0.4947999999999999, 0.11247877465315287]","Around[0.5052000000000001, 0.1124787746531529]"
"Around[0.49339999999999995, 0.11929269665301173]","Around[0.5065999999999999, 0.11929269665301173]"
"Around[0.4928, 0.12762064998670986]","Around[0.5072, 0.12762064998670986]"
"Around[0.491, 0.1324935675968666]","Around[0.509, 0.13249356759686656]"
"Around[0.4788000000000001, 0.13647273750023514]","Around[0.5211999999999999, 0.13647273750023514]"
"Around[0.4764000000000001, 0.15213975499686153]","Around[0.5235999999999998, 0.15213975499686153]"
"Around[0.47859999999999986, 0.1564571132381915]","Around[0.5214000000000001, 0.1564571132381915]"
"Around[0.4814, 0.15398425736143131]","Around[0.5186000000000002, 0.15398425736143131]"
"Around[0.47919999999999996, 0.16376677182980545]","Around[0.5208000000000002, 0.16376677182980545]"
"Around[0.48839999999999995, 0.1789798250579595]","Around[0.5116, 0.17897982505795948]"
"Around[0.4848000000000002, 0.1809988001522818]","Around[0.5151999999999998, 0.1809988001522818]"
"Around[0.47779999999999995, 0.1891372223780631]","Around[0.5222000000000001, 0.1891372223780631]"
"Around[0.4776, 0.19978331696458976]","Around[0.5224, 0.19978331696458976]"
"Around[0.4754000000000002, 0.2055955625823071]","Around[0.5246, 0.2055955625823071]"
"Around[0.4757999999999999, 0.21713087800176692]","Around[0.5242000000000001, 0.21713087800176692]"
"Around[0.4746000000000001, 0.22514381486893523]","Around[0.5253999999999999, 0.22514381486893523]"
"Around[0.47839999999999994, 0.23590239378594569]","Around[0.5216000000000001, 0.23590239378594569]"
"Around[0.48199999999999976, 0.24346820670627137]","Around[0.5180000000000002, 0.24346820670627137]"
"Around[0.4832000000000003, 0.25147194955728447]","Around[0.5167999999999998, 0.25147194955728447]"
"Around[0.47700000000000004, 0.2478900864284309]","Around[0.523, 0.2478900864284309]"
"Around[0.48039999999999994, 0.2528381124575785]","Around[0.5196000000000001, 0.25283811245757853]"
"Around[0.47900000000000004, 0.2563831570761294]","Around[0.5209999999999999, 0.2563831570761294]"
"Around[0.47140000000000015, 0.2611126928815189]","Around[0.5285999999999997, 0.2611126928815189]"
"Around[0.46760000000000007, 0.2600198904590636]","Around[0.5324, 0.2600198904590636]"
"Around[0.4654, 0.2601608670951048]","Around[0.5346000000000001, 0.2601608670951048]"
"Around[0.46720000000000006, 0.2608536104036248]","Around[0.5327999999999999, 0.2608536104036248]"
"Around[0.46380000000000005, 0.2553459922489009]","Around[0.5362, 0.2553459922489009]"
"Around[0.4612, 0.2542856105192972]","Around[0.5388000000000001, 0.2542856105192972]"
"Around[0.4572, 0.25796436994596006]","Around[0.5428000000000002, 0.25796436994596006]"
"Around[0.45380000000000026, 0.25947413798455576]","Around[0.5461999999999998, 0.25947413798455576]"
"Around[0.4468000000000001, 0.2597002156722285]","Around[0.5531999999999999, 0.2597002156722285]"
"Around[0.4532000000000004, 0.25938886995895927]","Around[0.5467999999999996, 0.25938886995895927]"
"Around[0.45820000000000016, 0.26314485007541405]","Around[0.5417999999999998, 0.26314485007541405]"
"Around[0.4567999999999999, 0.2638291458156551]","Around[0.5432000000000001, 0.2638291458156551]"
"Around[0.45020000000000027, 0.26671961595532023]","Around[0.5497999999999998, 0.26671961595532023]"
"Around[0.45380000000000015, 0.26719183136367536]","Around[0.5461999999999998, 0.26719183136367536]"
"Around[0.4549999999999999, 0.2692957519535019]","Around[0.545, 0.2692957519535019]"
"Around[0.46640000000000015, 0.27096356309521125]","Around[0.5335999999999999, 0.27096356309521125]"
"Around[0.4688000000000002, 0.2704178584742845]","Around[0.5311999999999998, 0.2704178584742845]"
"Around[0.4747999999999999, 0.2796913161384034]","Around[0.5252, 0.2796913161384034]"
"Around[0.47479999999999994, 0.2755874533509181]","Around[0.5252, 0.2755874533509181]"
"Around[0.4819999999999999, 0.28125979219765973]","Around[0.518, 0.28125979219765973]"
"Around[0.4752000000000001, 0.2771881904578421]","Around[0.5247999999999999, 0.2771881904578421]"
