1.,0.,0.,0.,0.
"Around[0.9604000000000004, 0.02203522226818151]","Around[0.015600000000000004, 0.014591023239775664]","Around[0.013600000000000006, 0.014813121596360822]","Around[0.007000000000000002, 0.009948848769417228]","Around[0.0034000000000000002, 0.006262945776223707]"
"Around[0.9536, 0.029537938247588748]","Around[0.02140000000000001, 0.01829575617124231]","Around[0.015800000000000005, 0.022323228498858424]","Around[0.005399999999999999, 0.009940640146922744]","Around[0.0038, 0.00635353027369631]"
"Around[0.9484, 0.027057007089718182]","Around[0.02200000000000001, 0.020303814862216996]","Around[0.02020000000000001, 0.01789880853405543]","Around[0.0054, 0.009940640146922744]","Around[0.004000000000000001, 0.007824607964359515]"
"Around[0.9413999999999996, 0.031037173235476497]","Around[0.028400000000000012, 0.02558379589202701]","Around[0.01860000000000001, 0.022039852586639874]","Around[0.006800000000000001, 0.009354688882139943]","Around[0.0048, 0.006773296909216971]"
"Around[0.9372000000000001, 0.03833472342939443]","Around[0.0316, 0.03209424896031267]","Around[0.019400000000000008, 0.02132450922946531]","Around[0.0052, 0.010149896953332349]","Around[0.006600000000000002, 0.01061573725894817]"
"Around[0.9278, 0.04621555529278434]","Around[0.03980000000000001, 0.038676576257735226]","Around[0.020400000000000005, 0.026260857812745276]","Around[0.007000000000000002, 0.008390957231764806]","Around[0.005, 0.009741558354989898]"
"Around[0.9199999999999998, 0.04421653583012046]","Around[0.047000000000000014, 0.043153735619980614]","Around[0.01960000000000001, 0.020499875559602396]","Around[0.007600000000000001, 0.01221574761510397]","Around[0.0058000000000000005, 0.008351951989853409]"
"Around[0.9188000000000001, 0.0490580663861818]","Around[0.053399999999999996, 0.04364092817808642]","Around[0.016600000000000007, 0.019857656725108454]","Around[0.006000000000000001, 0.010497813183356478]","Around[0.0052, 0.009089127840335352]"
"Around[0.9169999999999999, 0.051478150704935006]","Around[0.057999999999999996, 0.04342481186734475]","Around[0.013800000000000002, 0.019988772358705855]","Around[0.006200000000000002, 0.00854519795927896]","Around[0.005000000000000001, 0.007889543583705187]"
"Around[0.9169999999999999, 0.051478150704935]","Around[0.05519999999999998, 0.04445773044047984]","Around[0.015800000000000005, 0.017853142409042476]","Around[0.006800000000000001, 0.008191583535332258]","Around[0.0052, 0.007351245903010633]"
"Around[0.9096000000000001, 0.05584088181281393]","Around[0.0596, 0.04785010609247617]","Around[0.01920000000000001, 0.021837993478881556]","Around[0.0072000000000000015, 0.010309496315810695]","Around[0.0044, 0.007866228513106402]"
"Around[0.9086, 0.060204074714631205]","Around[0.060599999999999994, 0.05519575553039771]","Around[0.01960000000000001, 0.01989359449774767]","Around[0.005800000000000002, 0.007309485031694874]","Around[0.005400000000000003, 0.0097331749125119]"
"Around[0.9096000000000002, 0.06220309067719961]","Around[0.06439999999999997, 0.059561664153503086]","Around[0.018000000000000006, 0.017261494247992247]","Around[0.0034000000000000002, 0.005573259772323189]","Around[0.004600000000000002, 0.009521190115972362]"
