0.5,0.5
"Around[0.5122000000000001, 0.107567972402889]","Around[0.48779999999999984, 0.10756797240288898]"
"Around[0.502, 0.14025949975929358]","Around[0.49800000000000005, 0.14025949975929358]"
"Around[0.5162, 0.16274650301135274]","Around[0.4838, 0.16274650301135274]"
"Around[0.5106, 0.19150557129854956]","Around[0.4894, 0.19150557129854956]"
"Around[0.5196000000000001, 0.22074218244619925]","Around[0.48039999999999994, 0.22074218244619925]"
"Around[0.5032000000000001, 0.2465228081729862]","Around[0.49679999999999985, 0.2465228081729862]"
"Around[0.5092, 0.27468873109375813]","Around[0.49080000000000007, 0.27468873109375813]"
"Around[0.5049999999999999, 0.2777307030818585]","Around[0.49500000000000005, 0.2777307030818585]"
"Around[0.5239999999999999, 0.28188399361898125]","Around[0.47600000000000003, 0.28188399361898125]"
"Around[0.541, 0.28673536879354755]","Around[0.4590000000000001, 0.28673536879354755]"
"Around[0.5385999999999999, 0.28301772082862636]","Around[0.46140000000000014, 0.28301772082862636]"
"Around[0.5398000000000003, 0.27371732082053507]","Around[0.4601999999999999, 0.27371732082053507]"
"Around[0.5388000000000001, 0.2679185765048098]","Around[0.46120000000000005, 0.2679185765048098]"
"Around[0.5269999999999999, 0.2732427787913455]","Around[0.47300000000000025, 0.27324277879134545]"
"Around[0.5333999999999999, 0.26802766327905087]","Around[0.46659999999999996, 0.26802766327905087]"
"Around[0.5413999999999998, 0.2724858257827832]","Around[0.45860000000000023, 0.2724858257827832]"
"Around[0.5518000000000001, 0.27323863843781965]","Around[0.4482000000000001, 0.27323863843781965]"
"Around[0.5376, 0.2707308477421661]","Around[0.4624000000000001, 0.2707308477421661]"
"Around[0.5189999999999999, 0.26258043500703715]","Around[0.48100000000000015, 0.26258043500703715]"
"Around[0.5111999999999999, 0.2693399339125188]","Around[0.4888, 0.26933993391251876]"
"Around[0.49640000000000006, 0.27627215391765964]","Around[0.5035999999999998, 0.27627215391765964]"
"Around[0.49820000000000014, 0.2725279338847208]","Around[0.5018, 0.2725279338847208]"
"Around[0.4924000000000001, 0.26573747202907616]","Around[0.5075999999999999, 0.26573747202907616]"
"Around[0.4776, 0.2682118866896398]","Around[0.5224000000000001, 0.2682118866896398]"
"Around[0.4844, 0.27365952450725217]","Around[0.5156000000000001, 0.27365952450725217]"
"Around[0.4906000000000001, 0.28783349563961663]","Around[0.5093999999999999, 0.28783349563961663]"
"Around[0.4868000000000001, 0.2994974916000925]","Around[0.5131999999999999, 0.2994974916000925]"
"Around[0.48700000000000015, 0.30139574306780437]","Around[0.5129999999999998, 0.30139574306780437]"
