1.,0.,0.
"Around[0.6525999999999996, 0.034688221736963225]","Around[0.19060000000000005, 0.029535802619255775]","Around[0.15680000000000005, 0.033691410049315404]"
"Around[0.49499999999999994, 0.04922633769875963]","Around[0.30109999999999987, 0.04596650075782572]","Around[0.20390000000000008, 0.03966768524284285]"
"Around[0.4318000000000001, 0.05416734265312458]","Around[0.35320000000000007, 0.04956130781489964]","Around[0.215, 0.04166969685951215]"
"Around[0.4053999999999999, 0.0540373981982886]","Around[0.38660000000000017, 0.05410838356222787]","Around[0.20800000000000016, 0.037199978277391285]"
"Around[0.4012000000000001, 0.049077963126503775]","Around[0.38760000000000006, 0.0460153685350247]","Around[0.21119999999999994, 0.03685297022142739]"
"Around[0.39299999999999996, 0.053588405198486476]","Around[0.40190000000000003, 0.053441084335457634]","Around[0.2051000000000001, 0.04100985345996839]"
"Around[0.3948000000000002, 0.04650361124241706]","Around[0.40280000000000016, 0.04716358807813545]","Around[0.20240000000000014, 0.04055473916433034]"
"Around[0.40069999999999995, 0.046040276614145906]","Around[0.3951000000000001, 0.04833584110526614]","Around[0.20420000000000008, 0.03668539466624534]"
"Around[0.3888, 0.0485398929965983]","Around[0.40810000000000024, 0.04683292893171675]","Around[0.20310000000000003, 0.03639555417405213]"
"Around[0.396, 0.046493184033965254]","Around[0.4071, 0.04652131042041188]","Around[0.19690000000000005, 0.03486467344670611]"
"Around[0.4019000000000002, 0.04578595347214619]","Around[0.4002000000000001, 0.04842947595642701]","Around[0.1979000000000001, 0.04117700152446089]"
"Around[0.3939999999999999, 0.049868513982960105]","Around[0.40880000000000005, 0.04903678273098736]","Around[0.1972, 0.03944258069291577]"
"Around[0.4032999999999998, 0.05386205725853044]","Around[0.39690000000000003, 0.05018541379301119]","Around[0.1998, 0.045946389488954485]"
"Around[0.387, 0.049898887661940824]","Around[0.4047, 0.048460230492579574]","Around[0.2083, 0.042427716307988]"
"Around[0.3949000000000001, 0.05131591597470742]","Around[0.3991000000000002, 0.04643002772718831]","Around[0.20600000000000007, 0.039466134312543935]"
"Around[0.3935000000000002, 0.05041995356177668]","Around[0.4036, 0.05319147801418318]","Around[0.20290000000000002, 0.040183794914584334]"
"Around[0.39670000000000016, 0.04273609408186173]","Around[0.4097999999999999, 0.05274256135018263]","Around[0.19349999999999998, 0.0370741817103891]"
"Around[0.3914, 0.047948204377539556]","Around[0.40879999999999994, 0.052286699933147336]","Around[0.19980000000000003, 0.046078106723170816]"
"Around[0.39240000000000025, 0.05436725098621393]","Around[0.4035999999999999, 0.05654210909587739]","Around[0.20400000000000015, 0.04268749491621899]"
"Around[0.3952000000000001, 0.043842694011452105]","Around[0.40369999999999984, 0.04529711119738523]","Around[0.2011000000000001, 0.03778982279755632]"
"Around[0.3924, 0.04632166846840655]","Around[0.40380000000000005, 0.0506877946378862]","Around[0.20380000000000006, 0.03751848029486754]"
"Around[0.4021, 0.04975282338062268]","Around[0.3904000000000001, 0.05308502804011883]","Around[0.20750000000000007, 0.04023604595309278]"
"Around[0.40190000000000003, 0.0504664104713084]","Around[0.3956, 0.051685138437983655]","Around[0.20250000000000007, 0.04283807897304698]"
"Around[0.3973, 0.048301556952549715]","Around[0.39500000000000013, 0.04904131426716157]","Around[0.20770000000000002, 0.0411416621399326]"
"Around[0.4044000000000002, 0.04812273869802071]","Around[0.3939000000000001, 0.04700945531368013]","Around[0.2017000000000001, 0.036238686844895805]"
"Around[0.39860000000000007, 0.049421297498797485]","Around[0.4000000000000002, 0.05230060740903049]","Around[0.2014, 0.03578894361179839]"
"Around[0.3887000000000003, 0.049085680604469974]","Around[0.4042999999999997, 0.05267117357010877]","Around[0.20700000000000002, 0.04255715111601235]"
"Around[0.39369999999999983, 0.045475156942993596]","Around[0.40560000000000007, 0.05085769411313347]","Around[0.2007, 0.0427880612065817]"
"Around[0.3999999999999999, 0.048137009848677935]","Around[0.40019999999999994, 0.051580671346597044]","Around[0.19980000000000003, 0.040476455308530106]"
"Around[0.40509999999999996, 0.04881411867296368]","Around[0.396, 0.04905161165609755]","Around[0.19890000000000005, 0.03662242509995782]"
"Around[0.39440000000000003, 0.0436079874066273]","Around[0.4062000000000001, 0.04760485502784587]","Around[0.19940000000000013, 0.03673052290849279]"
"Around[0.4040000000000001, 0.04964520585763005]","Around[0.4000000000000001, 0.05140451577852127]","Around[0.19600000000000012, 0.03884701930767545]"
"Around[0.40220000000000006, 0.046113167776940266]","Around[0.40149999999999997, 0.05551185149646565]","Around[0.19630000000000009, 0.04021796673732833]"
"Around[0.4019000000000002, 0.044510695570862735]","Around[0.3993, 0.04542181649979901]","Around[0.19880000000000003, 0.0367156697343301]"
