1.,0.
"Around[0.49700000000000005, 0.18042663008608545]","Around[0.5030000000000001, 0.18042663008608545]"
"Around[0.48900000000000005, 0.1574897300631914]","Around[0.5110000000000001, 0.1574897300631914]"
"Around[0.4930000000000001, 0.1757996804268738]","Around[0.5070000000000001, 0.1757996804268738]"
"Around[0.49700000000000005, 0.15656809329871776]","Around[0.5030000000000001, 0.15656809329871776]"
"Around[0.49000000000000005, 0.15882736116068397]","Around[0.5100000000000001, 0.15882736116068397]"
"Around[0.48400000000000004, 0.15705838622441368]","Around[0.5160000000000001, 0.15705838622441368]"
"Around[0.49800000000000005, 0.1459538028377955]","Around[0.502, 0.1459538028377955]"
"Around[0.509, 0.16509172111862408]","Around[0.4910000000000001, 0.1650917211186241]"
"Around[0.514, 0.16836189783682082]","Around[0.4860000000000001, 0.16836189783682082]"
"Around[0.522, 0.14976027745539736]","Around[0.47800000000000004, 0.14976027745539736]"
"Around[0.5130000000000001, 0.1672448931099446]","Around[0.48700000000000004, 0.1672448931099446]"
"Around[0.496, 0.1616000398029704]","Around[0.504, 0.1616000398029704]"
"Around[0.4850000000000001, 0.1465687963391305]","Around[0.5150000000000001, 0.1465687963391305]"
"Around[0.48800000000000004, 0.15868808886535468]","Around[0.512, 0.15868808886535468]"
"Around[0.52, 0.1689458894671285]","Around[0.48, 0.1689458894671285]"
"Around[0.48400000000000004, 0.17173076977185006]","Around[0.5160000000000001, 0.17173076977185006]"
"Around[0.5010000000000001, 0.16411480232358247]","Around[0.49900000000000005, 0.16411480232358247]"
"Around[0.504, 0.15909290607635246]","Around[0.496, 0.15909290607635246]"
"Around[0.504, 0.17928949667532249]","Around[0.4960000000000001, 0.17928949667532249]"
"Around[0.5110000000000001, 0.15229896544091123]","Around[0.48900000000000005, 0.15229896544091123]"
"Around[0.5030000000000001, 0.16409030483457432]","Around[0.49700000000000005, 0.16409030483457432]"
"Around[0.49700000000000005, 0.15134572223287635]","Around[0.503, 0.15134572223287635]"
