1.,0.
"Around[0.4980000000000001, 0.16163735077583136]","Around[0.502, 0.16163735077583136]"
"Around[0.512, 0.1454709903906141]","Around[0.48800000000000004, 0.1454709903906141]"
"Around[0.5000000000000001, 0.1459675740132602]","Around[0.5, 0.1459675740132602]"
"Around[0.51, 0.15627575164677285]","Around[0.49000000000000005, 0.15627575164677285]"
"Around[0.5050000000000001, 0.1416876031430489]","Around[0.49500000000000005, 0.1416876031430489]"
"Around[0.501, 0.17130595040224403]","Around[0.49900000000000005, 0.17130595040224403]"
"Around[0.5030000000000001, 0.16772494832748433]","Around[0.49700000000000005, 0.16772494832748436]"
"Around[0.507, 0.1602479234964517]","Around[0.49300000000000005, 0.16024792349645164]"
"Around[0.4780000000000001, 0.17339645803271608]","Around[0.522, 0.17339645803271606]"
"Around[0.514, 0.15205130052041566]","Around[0.4860000000000001, 0.15205130052041566]"
"Around[0.5110000000000001, 0.17095357740667702]","Around[0.48900000000000005, 0.17095357740667702]"
"Around[0.505, 0.14725290178949663]","Around[0.495, 0.14725290178949663]"
"Around[0.507, 0.14853049024581894]","Around[0.49300000000000005, 0.14853049024581896]"
"Around[0.5000000000000001, 0.15269768470599962]","Around[0.5, 0.15269768470599962]"
"Around[0.502, 0.14457006091360278]","Around[0.49800000000000005, 0.14457006091360278]"
"Around[0.48400000000000004, 0.15705838622441368]","Around[0.516, 0.15705838622441368]"
"Around[0.49, 0.16133862139540195]","Around[0.5100000000000001, 0.16133862139540195]"
"Around[0.49400000000000005, 0.16028868429043203]","Around[0.5060000000000001, 0.16028868429043203]"
"Around[0.48900000000000005, 0.15876090553290553]","Around[0.5110000000000001, 0.15876090553290553]"
"Around[0.49500000000000005, 0.1615720509190589]","Around[0.5050000000000001, 0.1615720509190589]"
"Around[0.508, 0.15510087493961852]","Around[0.49200000000000005, 0.15510087493961852]"
"Around[0.485, 0.16342748457211181]","Around[0.5150000000000001, 0.16342748457211181]"
"Around[0.52, 0.17130888379865683]","Around[0.4800000000000001, 0.17130888379865683]"
"Around[0.51, 0.1497065806887177]","Around[0.49, 0.1497065806887177]"
"Around[0.519, 0.15926653492095774]","Around[0.4810000000000001, 0.15926653492095774]"
"Around[0.505, 0.16032316609878844]","Around[0.495, 0.16032316609878844]"
"Around[0.49800000000000005, 0.17246658696133133]","Around[0.502, 0.17246658696133133]"
"Around[0.4830000000000001, 0.16074887559490156]","Around[0.517, 0.16074887559490156]"
"Around[0.5000000000000001, 0.1565969765523161]","Around[0.5, 0.1565969765523161]"
"Around[0.5120000000000001, 0.16120151875289887]","Around[0.48800000000000004, 0.16120151875289887]"
"Around[0.509, 0.15243088886245132]","Around[0.4910000000000001, 0.15243088886245132]"
"Around[0.517, 0.15949354518216052]","Around[0.48300000000000004, 0.15949354518216052]"
"Around[0.49400000000000005, 0.15257916636962682]","Around[0.5060000000000001, 0.15257916636962682]"
"Around[0.5210000000000001, 0.1615222809279912]","Around[0.47900000000000004, 0.1615222809279912]"
"Around[0.5100000000000001, 0.15236823947926303]","Around[0.49000000000000005, 0.15236823947926303]"
"Around[0.522, 0.15373409138597516]","Around[0.47800000000000004, 0.15373409138597519]"
"Around[0.49500000000000005, 0.1615720509190589]","Around[0.505, 0.1615720509190589]"
"Around[0.517, 0.15174363463838061]","Around[0.483, 0.15174363463838061]"
"Around[0.495, 0.14861166554371968]","Around[0.5050000000000001, 0.14861166554371968]"
"Around[0.522, 0.14841203001531358]","Around[0.47800000000000004, 0.14841203001531358]"
"Around[0.5000000000000001, 0.1604015062774674]","Around[0.5, 0.1604015062774674]"
"Around[0.512, 0.16611432764589043]","Around[0.48800000000000004, 0.16611432764589043]"
"Around[0.4980000000000001, 0.15658414020846467]","Around[0.502, 0.1565841402084647]"
"Around[0.507, 0.16149739018069578]","Around[0.49300000000000005, 0.16149739018069578]"
"Around[0.5060000000000001, 0.1640075987944204]","Around[0.49400000000000005, 0.1640075987944204]"
"Around[0.4960000000000001, 0.1616000398029704]","Around[0.504, 0.1616000398029704]"
"Around[0.4850000000000001, 0.16219288721555145]","Around[0.515, 0.16219288721555145]"
"Around[0.5020000000000001, 0.14317294598600522]","Around[0.49800000000000005, 0.14317294598600522]"
"Around[0.49900000000000005, 0.15400515556207364]","Around[0.5010000000000001, 0.15400515556207364]"
"Around[0.496, 0.16528945221966035]","Around[0.504, 0.16528945221966035]"
"Around[0.49000000000000005, 0.16257970600299443]","Around[0.51, 0.16257970600299443]"
"Around[0.49800000000000005, 0.1689339914503197]","Around[0.5020000000000001, 0.1689339914503197]"
"Around[0.5060000000000001, 0.17002512377165868]","Around[0.49400000000000005, 0.17002512377165868]"
"Around[0.4970000000000001, 0.15911501481537968]","Around[0.503, 0.15911501481537968]"
"Around[0.512, 0.15868808886535468]","Around[0.488, 0.15868808886535468]"
"Around[0.508, 0.14711975090220772]","Around[0.49200000000000005, 0.14711975090220772]"
"Around[0.512, 0.14126492450170483]","Around[0.48800000000000004, 0.14126492450170483]"
"Around[0.49, 0.15882736116068397]","Around[0.51, 0.15882736116068397]"
"Around[0.5, 0.1565969765523161]","Around[0.5, 0.1565969765523161]"
"Around[0.46800000000000014, 0.1519587354726018]","Around[0.532, 0.1519587354726018]"
"Around[0.5060000000000001, 0.1564814115503948]","Around[0.49400000000000005, 0.1564814115503948]"
"Around[0.495, 0.15129258817331703]","Around[0.505, 0.15129258817331703]"
"Around[0.504, 0.1578244046830776]","Around[0.4960000000000001, 0.1578244046830776]"
"Around[0.51, 0.16257970600299443]","Around[0.49, 0.16257970600299443]"
"Around[0.49400000000000005, 0.14857446570422686]","Around[0.5060000000000001, 0.14857446570422686]"
"Around[0.517, 0.15041316632201812]","Around[0.4830000000000001, 0.15041316632201812]"
"Around[0.517, 0.16199447847157133]","Around[0.48300000000000004, 0.16199447847157133]"
"Around[0.5009999999999999, 0.15400515556207364]","Around[0.49900000000000005, 0.15400515556207364]"
"Around[0.4880000000000001, 0.16611432764589043]","Around[0.512, 0.16611432764589043]"
"Around[0.49900000000000005, 0.16411480232358247]","Around[0.501, 0.16411480232358247]"
"Around[0.5180000000000001, 0.15938323335714108]","Around[0.48200000000000004, 0.15938323335714108]"
"Around[0.501, 0.15659376756499926]","Around[0.49900000000000005, 0.15659376756499924]"
"Around[0.49900000000000005, 0.16164667717341433]","Around[0.5010000000000001, 0.16164667717341433]"
"Around[0.512, 0.15868808886535468]","Around[0.48800000000000004, 0.15868808886535468]"
"Around[0.5110000000000001, 0.16002198341440282]","Around[0.48900000000000005, 0.16002198341440282]"
"Around[0.507, 0.174652562500353]","Around[0.49300000000000005, 0.174652562500353]"
"Around[0.49900000000000005, 0.1689429150414825]","Around[0.501, 0.1689429150414825]"
