1.,0.
"Around[0.49700000000000005, 0.2849508465062407]","Around[0.5030000000000001, 0.2849508465062407]"
"Around[0.4960000000000001, 0.29259538667160756]","Around[0.504, 0.29259538667160756]"
"Around[0.49700000000000005, 0.30995379782141663]","Around[0.5030000000000001, 0.30995379782141663]"
"Around[0.49900000000000005, 0.30866709718468877]","Around[0.5010000000000001, 0.30866709718468877]"
"Around[0.485, 0.3030415332166061]","Around[0.515, 0.3030415332166061]"
"Around[0.537, 0.28677902826963547]","Around[0.46299999999999997, 0.2867790282696355]"
"Around[0.534, 0.2981416478975309]","Around[0.466, 0.2981416478975309]"
"Around[0.475, 0.3056831873938709]","Around[0.525, 0.3056831873938709]"
"Around[0.4960000000000001, 0.31316828041692935]","Around[0.504, 0.31316828041692935]"
"Around[0.47400000000000003, 0.28938333325856763]","Around[0.5260000000000001, 0.28938333325856763]"
"Around[0.495, 0.2993712003147421]","Around[0.505, 0.2993712003147421]"
"Around[0.551, 0.2767343664016789]","Around[0.44900000000000007, 0.276734366401679]"
"Around[0.4800000000000001, 0.28637396922774994]","Around[0.52, 0.28637396922774994]"
"Around[0.47200000000000003, 0.29058250283658493]","Around[0.528, 0.2905825028365849]"
"Around[0.527, 0.28859562918715465]","Around[0.47300000000000003, 0.28859562918715465]"
"Around[0.49700000000000005, 0.29939805607234576]","Around[0.503, 0.29939805607234576]"
"Around[0.48800000000000004, 0.2909972456655297]","Around[0.512, 0.2909972456655297]"
"Around[0.49000000000000005, 0.2798061065924619]","Around[0.51, 0.2798061065924619]"
"Around[0.5110000000000001, 0.2924150007494769]","Around[0.48900000000000005, 0.2924150007494769]"
"Around[0.514, 0.30573085677425427]","Around[0.4860000000000001, 0.3057308567742544]"
"Around[0.507, 0.28838660539431143]","Around[0.49300000000000005, 0.28838660539431143]"
"Around[0.47900000000000004, 0.3033464940911415]","Around[0.5210000000000001, 0.3033464940911415]"
"Around[0.483, 0.2893607579496675]","Around[0.517, 0.2893607579496675]"
"Around[0.49300000000000005, 0.31630879893137187]","Around[0.507, 0.31630879893137187]"
"Around[0.503, 0.3086540728443691]","Around[0.49700000000000005, 0.3086540728443691]"
"Around[0.468, 0.29085906376606935]","Around[0.532, 0.29085906376606935]"
"Around[0.5060000000000001, 0.30861011163768615]","Around[0.49400000000000005, 0.3086101116376862]"
"Around[0.535, 0.31186745026158685]","Around[0.465, 0.31186745026158685]"
"Around[0.48, 0.29193514802652026]","Around[0.52, 0.29193514802652026]"
"Around[0.488, 0.31805944262861646]","Around[0.512, 0.31805944262861646]"
"Around[0.49000000000000005, 0.3149539329798844]","Around[0.51, 0.3149539329798844]"
"Around[0.4860000000000001, 0.31671047920488987]","Around[0.514, 0.31671047920488987]"
"Around[0.502, 0.29940644800259003]","Around[0.4980000000000001, 0.29940644800259003]"
"Around[0.4970000000000001, 0.3125370329815727]","Around[0.503, 0.3125370329815727]"
"Around[0.49700000000000005, 0.3040612871308321]","Around[0.503, 0.3040612871308321]"
"Around[0.507, 0.2897772494026348]","Around[0.4930000000000001, 0.2897772494026348]"
"Around[0.485, 0.294292439931788]","Around[0.515, 0.294292439931788]"
"Around[0.49200000000000005, 0.28343903831725625]","Around[0.508, 0.28343903831725625]"
"Around[0.4960000000000001, 0.3144493472084161]","Around[0.504, 0.3144493472084161]"
"Around[0.5020000000000001, 0.2898552749252807]","Around[0.49800000000000005, 0.2898552749252807]"
"Around[0.52, 0.2835524820033344]","Around[0.48, 0.2835524820033344]"
"Around[0.568, 0.2963360851750667]","Around[0.43200000000000005, 0.2963360851750667]"
"Around[0.4960000000000001, 0.2763436794025307]","Around[0.504, 0.2763436794025307]"
"Around[0.508, 0.29863340326852034]","Around[0.49200000000000005, 0.29863340326852034]"
"Around[0.4960000000000001, 0.29259538667160756]","Around[0.504, 0.29259538667160756]"
"Around[0.5210000000000001, 0.30990191348215246]","Around[0.47900000000000004, 0.30990191348215246]"
"Around[0.49700000000000005, 0.31700704619406084]","Around[0.503, 0.31700704619406084]"
"Around[0.52, 0.28637396922774994]","Around[0.48, 0.28637396922774994]"
"Around[0.502, 0.292615995125036]","Around[0.49800000000000005, 0.292615995125036]"
"Around[0.52, 0.2960374823477153]","Around[0.4800000000000001, 0.2960374823477153]"
"Around[0.47600000000000003, 0.2936924860835046]","Around[0.524, 0.2936924860835046]"
"Around[0.49300000000000005, 0.296632693366509]","Around[0.507, 0.296632693366509]"
"Around[0.465, 0.2993712003147421]","Around[0.535, 0.2993712003147421]"
"Around[0.4760000000000001, 0.3090331819363229]","Around[0.524, 0.3090331819363229]"
"Around[0.486, 0.28813034459665465]","Around[0.514, 0.28813034459665465]"
"Around[0.442, 0.30709532345583224]","Around[0.558, 0.30709532345583224]"
"Around[0.534, 0.2967901988114715]","Around[0.4660000000000001, 0.2967901988114715]"
"Around[0.475, 0.30237751372087857]","Around[0.525, 0.30237751372087857]"
"Around[0.4710000000000001, 0.29867210302542174]","Around[0.529, 0.29867210302542174]"
"Around[0.505, 0.28981886562881287]","Around[0.495, 0.28981886562881287]"
"Around[0.48900000000000005, 0.29172679447226874]","Around[0.5110000000000001, 0.2917267944722688]"
"Around[0.505, 0.2993712003147421]","Around[0.495, 0.2993712003147421]"
"Around[0.513, 0.2957504720343531]","Around[0.48700000000000004, 0.2957504720343531]"
