1.,0.,0.
"Around[0.9214500000000001, 0.050538780572037374]","Around[0.0641, 0.0487861707070898]","Around[0.014450000000000003, 0.0172098341642155]"
"Around[0.8839000000000001, 0.0777496950179027]","Around[0.1059, 0.07764233161292529]","Around[0.0102, 0.013184428153266382]"
"Around[0.8571000000000001, 0.09948909690016314]","Around[0.13015000000000002, 0.09880429618555875]","Around[0.01275, 0.015068937066747874]"
"Around[0.8307000000000001, 0.11613330583264256]","Around[0.15735000000000002, 0.1156388308310833]","Around[0.011950000000000002, 0.015488608230716636]"
"Around[0.8194500000000001, 0.12579474987247038]","Around[0.16785, 0.12482300031258332]","Around[0.0127, 0.014167341593933422]"
"Around[0.811, 0.1334543002351602]","Around[0.17725000000000002, 0.13254348864395243]","Around[0.011749999999999998, 0.014508271769881611]"
"Around[0.7786500000000001, 0.14286613019109495]","Around[0.21050000000000005, 0.14377449540039497]","Around[0.01085, 0.014205155126249204]"
"Around[0.7747999999999999, 0.16214008460333268]","Around[0.21404999999999996, 0.1609647344254114]","Around[0.011150000000000002, 0.013568271442956496]"
"Around[0.76715, 0.17589220516894996]","Around[0.22034999999999996, 0.1743483992516365]","Around[0.0125, 0.015129258817331704]"
"Around[0.7701, 0.17720325892848124]","Around[0.21965000000000004, 0.17651391819509]","Around[0.010249999999999999, 0.013503675286052898]"
"Around[0.7529499999999999, 0.1950539095691008]","Around[0.23575000000000002, 0.1942268204675779]","Around[0.0113, 0.014294462504461555]"
"Around[0.7380500000000001, 0.19835174456723167]","Around[0.25145, 0.197993445655691]","Around[0.0105, 0.012511301423776142]"
"Around[0.7339500000000001, 0.20181064187965758]","Around[0.25385, 0.20302901617018973]","Around[0.012199999999999999, 0.013192048770140626]"
"Around[0.7197, 0.20280423513562218]","Around[0.2682, 0.20296733405518078]","Around[0.0121, 0.014855755360690464]"
"Around[0.7043, 0.20612117721983944]","Around[0.28350000000000003, 0.20506831806833764]","Around[0.012200000000000003, 0.016045162391852084]"
"Around[0.69035, 0.21462454654558852]","Around[0.2965, 0.21294241560057744]","Around[0.013150000000000002, 0.015419673526319922]"
"Around[0.6777500000000001, 0.21628298394864226]","Around[0.31055, 0.21578231516435364]","Around[0.011700000000000002, 0.014531545999849042]"
"Around[0.665, 0.22024883141277612]","Around[0.3218, 0.22058114198862294]","Around[0.0132, 0.015261868270810683]"
"Around[0.6607499999999998, 0.22153629306668612]","Around[0.32785, 0.22237384769955193]","Around[0.0114, 0.01456367064007432]"
"Around[0.666, 0.23170332790187548]","Around[0.3218, 0.23089025868968344]","Around[0.012199999999999999, 0.01507635507714183]"
"Around[0.6626000000000001, 0.23899757152736908]","Around[0.32545, 0.23815411905342]","Around[0.011949999999999999, 0.01406008284642168]"
"Around[0.6495500000000001, 0.24929709728267563]","Around[0.3394499999999999, 0.24942183899739856]","Around[0.011, 0.01279918339103659]"
"Around[0.63465, 0.252854810664899]","Around[0.3526, 0.25313956267433735]","Around[0.01275, 0.01442142111356136]"
"Around[0.6214500000000001, 0.2487221563417228]","Around[0.3674, 0.24778869260098316]","Around[0.011150000000000002, 0.013381810950749829]"
"Around[0.6123, 0.25500755728283186]","Around[0.37575000000000003, 0.25458891388938537]","Around[0.01195, 0.013624449645424343]"
"Around[0.60875, 0.2654340098175801]","Around[0.37760000000000005, 0.26605859482339034]","Around[0.01365, 0.014807898883593636]"
"Around[0.60405, 0.27411455900277615]","Around[0.38375, 0.2727939150723537]","Around[0.012200000000000003, 0.013751564552376975]"
"Around[0.604, 0.2821721203939861]","Around[0.38305, 0.2823433839001028]","Around[0.01295, 0.015844644641616154]"
"Around[0.6025499999999999, 0.28000179019528215]","Around[0.38675, 0.2792774911900835]","Around[0.010700000000000001, 0.013356721530759381]"
"Around[0.60625, 0.28020530430884794]","Around[0.38420000000000004, 0.28061733811769596]","Around[0.009550000000000001, 0.012000732808445427]"
"Around[0.59545, 0.2805160311258395]","Around[0.39165000000000005, 0.28030453198845423]","Around[0.0129, 0.014923254255957032]"
"Around[0.5974, 0.2783660870004818]","Around[0.39130000000000004, 0.27819105180888304]","Around[0.011300000000000001, 0.012290863543021125]"
"Around[0.5961, 0.27492856998312276]","Around[0.39185000000000003, 0.2748888811591415]","Around[0.01205, 0.01408151074010236]"
"Around[0.58765, 0.2716504136499352]","Around[0.40025000000000005, 0.2714236383539327]","Around[0.0121, 0.014719829035493954]"
"Around[0.5868, 0.2786034086232299]","Around[0.40075000000000005, 0.2796443137470441]","Around[0.012450000000000001, 0.01525322274209947]"
"Around[0.58245, 0.2785542313428302]","Around[0.4047, 0.27681953557576444]","Around[0.012850000000000002, 0.015016824735130533]"
"Around[0.57205, 0.2826815199275374]","Around[0.41650000000000004, 0.28334106797995257]","Around[0.01145, 0.013390069822418634]"
"Around[0.5757, 0.28350730494962384]","Around[0.4141500000000001, 0.28201941823446575]","Around[0.010150000000000001, 0.012500351753844738]"
"Around[0.5753499999999999, 0.2907897365009146]","Around[0.41325, 0.29061697927549945]","Around[0.0114, 0.01194796086552936]"
"Around[0.5640000000000001, 0.29735517567803077]","Around[0.42215, 0.2987341425744612]","Around[0.01385, 0.01758475527525056]"
"Around[0.56355, 0.29692206225754997]","Around[0.42545, 0.2958656450139108]","Around[0.011000000000000001, 0.013927305886144353]"
"Around[0.5596000000000001, 0.2954544068594397]","Around[0.42955, 0.29349958694636774]","Around[0.01085, 0.013100980054635602]"
"Around[0.56375, 0.28771223322224004]","Around[0.42410000000000003, 0.2861197521367829]","Around[0.012150000000000001, 0.013777758640861334]"
"Around[0.5582, 0.28693451706866346]","Around[0.42955, 0.28664284064049506]","Around[0.01225, 0.016996526396524048]"
"Around[0.5603, 0.28173352461940404]","Around[0.42655, 0.2803669481735333]","Around[0.01315, 0.015549483340638813]"
"Around[0.5567, 0.2883223175440463]","Around[0.4311, 0.2883583581475797]","Around[0.012200000000000003, 0.01566483114091457]"
"Around[0.5649, 0.27173921506662435]","Around[0.42495000000000005, 0.2728594121410692]","Around[0.010150000000000001, 0.013089467936255903]"
"Around[0.5604, 0.26999318807710726]","Around[0.42719999999999997, 0.27051813303641503]","Around[0.0124, 0.013496323713102179]"
"Around[0.5607500000000001, 0.2781036600417967]","Around[0.4268, 0.2763905182761609]","Around[0.012450000000000001, 0.015087600153502205]"
"Around[0.5581, 0.28597605058385167]","Around[0.4285, 0.28595383891451737]","Around[0.013399999999999999, 0.016240652510593572]"
"Around[0.5581, 0.27977447845357495]","Around[0.42995, 0.2808484945382868]","Around[0.01195, 0.018747127083085204]"
"Around[0.53375, 0.27404917854521393]","Around[0.4533, 0.2740320745632658]","Around[0.012950000000000001, 0.014311589989941753]"
"Around[0.5266000000000001, 0.27123102948737987]","Around[0.46130000000000004, 0.2711937318615698]","Around[0.0121, 0.014269128922292524]"
"Around[0.52565, 0.28257000288895373]","Around[0.46140000000000003, 0.2817961770981567]","Around[0.01295, 0.01526310294657639]"
"Around[0.5281999999999999, 0.28270011811797957]","Around[0.4592, 0.2831398965264788]","Around[0.0126, 0.014431957837908753]"
"Around[0.53375, 0.2715365500074525]","Around[0.4542, 0.2729889647483426]","Around[0.01205, 0.01460699563935172]"
"Around[0.53105, 0.2690601500066631]","Around[0.4571, 0.26787379838143277]","Around[0.011850000000000001, 0.014702322655189093]"
"Around[0.53935, 0.27409068942623854]","Around[0.44805000000000006, 0.2751165993103295]","Around[0.012600000000000002, 0.014639383791298893]"
"Around[0.5428000000000001, 0.2769851328484897]","Around[0.44515, 0.27494353463244214]","Around[0.01205, 0.01408151074010236]"
"Around[0.54105, 0.28463570563902046]","Around[0.4484, 0.2833298768140723]","Around[0.010549999999999999, 0.011785243306737242]"
"Around[0.5378499999999999, 0.27607055667221475]","Around[0.44955, 0.27588013109622145]","Around[0.012599999999999998, 0.013827363447147018]"
"Around[0.54225, 0.27347464123202525]","Around[0.44475000000000003, 0.27492701178502854]","Around[0.013000000000000001, 0.016071448512390916]"
"Around[0.5422, 0.2698951220093133]","Around[0.4477, 0.2683500863503142]","Around[0.0101, 0.013147405499062693]"
"Around[0.53815, 0.26919025701604027]","Around[0.45049999999999996, 0.267628239115119]","Around[0.011350000000000002, 0.013400573752060847]"
"Around[0.54405, 0.26241648109015314]","Around[0.44255, 0.2626804189743933]","Around[0.0134, 0.016877924090599537]"
"Around[0.54375, 0.26083059732805997]","Around[0.4428, 0.2623897902168647]","Around[0.013450000000000002, 0.01444440042084087]"
"Around[0.5484, 0.26493279701591]","Around[0.44, 0.2668351645213307]","Around[0.0116, 0.015705838622441362]"
